seconds,ai2-J-type,ai9-K-type,ai10-J-type,
0,22.238783260448322,2293.7171636993767,22.148228966372567,
1,22.238422500830413,2293.719852579793,22.149672119861172,
2,22.22705851365758,2293.7001341796363,22.142636729110304,
3,22.239504779337135,2293.7153711137794,22.14840936065993,
4,22.250688262952444,2293.7265747914225,22.149672119861172,
5,22.241488953895765,2293.7176118459433,22.142636729110304,
6,22.23661870100588,2293.716267406444,22.141734752753713,
7,22.240045918200117,2293.7306081256615,22.152558421282162,
8,22.24275160861137,2293.7203007267635,22.14858975491835,
9,22.23625794069397,2293.7135785292544,22.14155435739557,
10,22.24275160861137,2293.7243340525306,22.145703443310868,
11,22.238963640213903,2293.7185081392827,22.14750738893373,
